2026-01-31 10:57:45,152 | INFO | avature | Consultando o subdominio tesco.avature.net - 420
2026-01-31 10:57:45,524 | INFO | avature | Consultando o subdominio tesco.avature.net - 430
2026-01-31 10:57:45,898 | INFO | avature | Consultando o subdominio tesco.avature.net - 440
2026-01-31 10:57:46,268 | INFO | avature | Consultando o subdominio tesco.avature.net - 450
2026-01-31 10:57:46,641 | INFO | avature | Consultando o subdominio tesco.avature.net - 460
2026-01-31 10:57:47,248 | INFO | avature | Consultando o subdominio tesco.avature.net - 470
2026-01-31 10:57:47,626 | INFO | avature | Consultando o subdominio tesco.avature.net - 480
2026-01-31 10:57:48,017 | INFO | avature | Consultando o subdominio tesco.avature.net - 490
2026-01-31 10:57:48,581 | INFO | avature | Consultando o subdominio tesco.avature.net - 500
2026-01-31 10:57:48,955 | INFO | avature | Consultando o subdominio tesco.avature.net - 510
2026-01-31 10:57:49,323 | INFO | avature | Consultando o subdominio tesco.avature.net - 520
2026-01-31 10:57:49,733 | INFO | avature | Consultando o subdominio tesco.avature.net - 530
2026-01-31 10:57:50,117 | INFO | avature | Consultando o subdominio tesco.avature.net - 540
2026-01-31 10:57:50,488 | INFO | avature | Consultando o subdominio tesco.avature.net - 550
2026-01-31 10:57:50,862 | INFO | avature | Consultando o subdominio tesco.avature.net - 560
2026-01-31 10:57:51,241 | INFO | avature | Consultando o subdominio tesco.avature.net - 570
2026-01-31 10:57:51,610 | INFO | avature | Consultando o subdominio tesco.avature.net - 580
2026-01-31 10:57:51,986 | INFO | avature | Consultando o subdominio tesco.avature.net - 590
2026-01-31 10:57:52,361 | INFO | avature | Consultando o subdominio tesco.avature.net - 600
2026-01-31 10:57:52,732 | INFO | avature | Consultando o subdominio tesco.avature.net - 610
2026-01-31 10:57:53,332 | INFO | avature | Consultando o subdominio tesco.avature.net - 620
2026-01-31 10:57:53,713 | INFO | avature | Consultando o subdominio tesco.avature.net - 630
2026-01-31 10:57:54,096 | INFO | avature | Consultando o subdominio tesco.avature.net - 640
2026-01-31 10:57:54,469 | INFO | avature | Consultando o subdominio tesco.avature.net - 650
2026-01-31 10:57:54,839 | INFO | avature | Consultando o subdominio tesco.avature.net - 660
2026-01-31 10:57:55,222 | INFO | avature | Consultando o subdominio tesco.avature.net - 670
2026-01-31 10:57:55,598 | INFO | avature | Consultando o subdominio tesco.avature.net - 680
2026-01-31 10:57:56,001 | INFO | avature | Consultando o subdominio tesco.avature.net - 690
